                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1194,                 3.6228,                 1.7808,                0.36489,                0.39031,                  0.304,                0.13293,                 1.7283,                 2.4845,                 1.6466,             0.00047348,             0.00047348,             0.00047348
                      2,                 1.7793,                 2.5602,                 1.5357,                0.39642,                0.53305,                0.43092,                0.21239,                  1.679,                  1.995,                 1.5723,             0.00094041,             0.00094041,             0.00094041
                      3,                 1.7478,                 2.2007,                 1.5117,                0.38335,                0.41985,                0.46533,                0.20687,                 1.7881,                 1.9309,                 1.6384,              0.0013979,              0.0013979,              0.0013979
                      4,                 1.6986,                 1.9306,                 1.4802,                0.54061,                0.63467,                 0.6121,                0.32374,                 1.5878,                  1.384,                  1.419,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.6626,                 1.7077,                  1.419,                0.54908,                 0.6921,                0.67535,                0.34453,                 1.6258,                 1.3536,                 1.4259,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.6227,                 1.5858,                 1.3986,                0.66569,                0.63355,                0.67856,                0.35191,                 1.5797,                 1.4063,                 1.4482,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6108,                 1.4746,                 1.3835,                0.73536,                0.73324,                 0.8004,                0.42753,                 1.5005,                 1.0944,                 1.3948,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5777,                 1.4355,                 1.3787,                 0.7715,                0.68892,                0.82603,                0.43953,                 1.5517,                 1.2001,                 1.4356,                0.00133,                0.00133,                0.00133
                      9,                  1.558,                 1.3365,                 1.3661,                0.69651,                0.73768,                0.78261,                0.42797,                 1.4987,                 1.0677,                 1.3722,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.5267,                 1.2753,                 1.3212,                0.88591,                0.82306,                0.90892,                0.49515,                 1.5151,                0.84727,                 1.3711,              0.0013017,              0.0013017,              0.0013017
